label,recFolder,recBase,recCount,ttsFolder,ttsBase,ttsCount,fallbackLabel
A,5,1,1,105,1,9,A
B,34,1,1,134,1,9,B
C,6,1,1,106,1,9,C
D,30,1,1,130,1,9,D
E,24,1,1,124,1,9,E
F,18,1,1,118,1,9,F
G,17,1,1,117,1,9,G
H,35,1,1,135,1,9,H
I,8,1,1,108,1,9,I
J,9,1,1,109,1,9,J
K,2,1,1,102,1,9,K
L,23,1,1,123,1,9,L
M,19,1,1,119,1,9,M
N,16,1,1,116,1,9,N
O,33,1,1,133,1,9,O
P,5,1,1,105,1,9,P
Q,10,1,1,110,1,9,Q
R,7,1,1,107,1,9,R
S,29,1,1,129,1,9,S
T,22,1,1,122,1,9,T
U,21,1,1,121,1,9,U
V,13,1,1,113,1,9,V
W,11,1,1,111,1,9,W
X,14,1,1,114,1,9,X
Y,31,1,1,131,1,9,Y
Z,28,1,1,128,1,9,Z
WATER,20,1,5,120,1,3,WATER
YES,0,1,1,100,1,1,YES
NO,25,1,1,125,1,1,NO
SHIFT,1,1,1,101,1,1,SHIFT
SPACE,27,1,1,127,1,1,SPACE
PERIOD,15,1,1,115,1,1,PERIOD
