folder,track,text,bank
5,1,Alari,REC
5,2,Amer,TTS
5,3,Apple,TTS
5,4,Arabic Show,TTS
6,1,Bagel,TTS
6,2,Bathroom,TTS
6,3,Bed,TTS
6,4,Blanket,TTS
6,5,Breathe,TTS
6,6,Bye,TTS
7,1,Call,TTS
7,2,Car,TTS
7,3,Chair,TTS
7,4,Coffee,TTS
7,5,Cold,TTS
7,6,Cucumber,TTS
8,1,Daddy,REC
8,2,Deen,TTS
8,3,Doctor,TTS
8,4,Door,TTS
8,5,Down,TTS
9,1,Eat,TTS
9,2,Emergency,TTS
9,3,Exercise,TTS
10,1,FaceTime,TTS
10,2,Funny,TTS
11,1,Garage,TTS
11,2,Go,TTS
11,3,Good Morning,TTS
12,1,Happy,TTS
12,2,Heartburn,TTS
12,3,Hot,TTS
12,4,How are you,TTS
12,5,Hungry,TTS
13,1,Inside,TTS
13,2,iPad,TTS
14,1,Juice,TTS
14,2,Jump,TTS
15,1,Kaiser,TTS
15,2,Kiyah,TTS
15,3,Kleenex,TTS
15,4,Kyan,TTS
17,1,Mad,TTS
17,2,Medical,TTS
17,3,Medicine,TTS
17,4,Meditate,TTS
17,5,Mohammad,TTS
18,1,Nada,REC
18,2,Nadowie,REC
18,3,Noah,REC
18,4,No,TTS
19,1,Outside,TTS
20,1,Pain,TTS
20,2,Period,TTS
20,3,Phone,TTS
20,4,Purple,TTS
21,1,Quiet,TTS
21,2,Question,TTS
22,1,Rest,TTS
22,2,Room,TTS
23,1,Susu,REC
23,2,Sad,TTS
23,3,Scarf,TTS
23,4,Shoes,TTS
23,5,Sinemet,TTS
23,6,Sleep,TTS
23,7,Socks,TTS
23,8,Stop,TTS
23,9,Space,TTS
24,1,TV,TTS
24,2,Togamet,TTS
24,3,Tylenol,TTS
25,1,Up,TTS
25,2,Urgent Care,TTS
26,1,Voice,TTS
26,2,Volume,TTS
27,1,Walk,TTS
27,2,Walker,TTS
27,3,Water,TTS
27,4,Wheelchair,TTS
28,1,Exit,TTS
28,2,X-ray,TTS
29,1,Yes,TTS
30,1,Zero,TTS
30,2,Zone,TTS
33,4,Personal voice first,TTS
33,5,Computer voice first,TTS
105,1,Alari,REC
108,1,Daddy,REC
115,1,Kaiser,REC
115,2,Kiyah,REC
118,1,Nada,REC
118,2,Nadowie,REC
118,3,Noah,REC
123,1,Susu,REC
