label,rec_folder,rec_base,rec_count,tts_folder,tts_base,tts_count,fallback
A,05,1,1,05,2,3,Amer
B,06,0,0,06,1,6,Bagel
C,07,0,0,07,1,5,Call
D,08,1,1,08,2,3,Deen
E,09,0,0,09,1,1,Eleven
F,10,0,0,10,1,2,FaceTime
G,11,0,0,11,1,3,Garage
H,12,0,0,12,1,4,Happy
I,13,0,0,13,1,2,Inside
J,14,0,0,14,1,1,Juice
K,15,0,0,15,1,4,Kaiser
L,16,1,1,16,2,3,Lee
M,17,0,0,17,1,4,Mad
N,18,1,3,18,4,1,No
O,19,0,0,19,1,2,Orange
P,20,0,0,20,1,4,Pain
Q,21,0,0,21,1,1,Queen
R,22,0,0,22,1,3,Red
S,23,1,1,23,2,8,Sad
T,24,0,0,24,1,3,TV
U,25,0,0,25,1,2,Up
V,26,0,0,26,1,1,Violet
W,27,0,0,27,1,4,Walk
X,28,0,0,28,1,1,X-ray
Y,29,0,0,29,1,2,Yes
Z,30,0,0,30,1,1,Zebra
SPACE,23,0,0,23,9,1,Space
PERIOD,20,0,0,20,2,1,Period
.,20,0,0,20,2,1,Period
_,23,0,0,23,9,1,Space
SHIFT,33,0,0,33,1,3,Shift
