key,human_playlist,generated_playlist
A,/audio/human/A/playlist.m3u,/audio/generated/A/playlist.m3u
B,/audio/human/B/playlist.m3u,/audio/generated/B/playlist.m3u
C,/audio/human/C/playlist.m3u,/audio/generated/C/playlist.m3u
D,/audio/human/D/playlist.m3u,/audio/generated/D/playlist.m3u
E,/audio/human/E/playlist.m3u,/audio/generated/E/playlist.m3u
F,/audio/human/F/playlist.m3u,/audio/generated/F/playlist.m3u
G,/audio/human/G/playlist.m3u,/audio/generated/G/playlist.m3u
H,/audio/human/H/playlist.m3u,/audio/generated/H/playlist.m3u
I,/audio/human/I/playlist.m3u,/audio/generated/I/playlist.m3u
J,/audio/human/J/playlist.m3u,/audio/generated/J/playlist.m3u
K,/audio/human/K/playlist.m3u,/audio/generated/K/playlist.m3u
L,/audio/human/L/playlist.m3u,/audio/generated/L/playlist.m3u
M,/audio/human/M/playlist.m3u,/audio/generated/M/playlist.m3u
N,/audio/human/N/playlist.m3u,/audio/generated/N/playlist.m3u
O,/audio/human/O/playlist.m3u,/audio/generated/O/playlist.m3u
P,/audio/human/P/playlist.m3u,/audio/generated/P/playlist.m3u
Q,/audio/human/Q/playlist.m3u,/audio/generated/Q/playlist.m3u
R,/audio/human/R/playlist.m3u,/audio/generated/R/playlist.m3u
S,/audio/human/S/playlist.m3u,/audio/generated/S/playlist.m3u
T,,/audio/generated/T/playlist.m3u
U,/audio/human/U/playlist.m3u,/audio/generated/U/playlist.m3u
V,,/audio/generated/V/playlist.m3u
W,/audio/human/W/playlist.m3u,/audio/generated/W/playlist.m3u
X,,/audio/generated/X/playlist.m3u
Y,,/audio/generated/Y/playlist.m3u
Z,,/audio/generated/Z/playlist.m3u
SHIFT,/audio/human/SHIFT/playlist.m3u,/audio/generated/SHIFT/playlist.m3u
PERIOD,/audio/human/PERIOD/playlist.m3u,/audio/generated/PERIOD/playlist.m3u
SPACE,/audio/human/SPACE/playlist.m3u,/audio/generated/SPACE/playlist.m3u
YES,/audio/human/YES/playlist.m3u,/audio/generated/YES/playlist.m3u
NO,/audio/human/NO/playlist.m3u,/audio/generated/NO/playlist.m3u
WATER,/audio/human/WATER/playlist.m3u,/audio/generated/WATER/playlist.m3u
